"id","movie_name","year","topics","writer","director","actors","official_site","movie_making_zone","IMDb","movie_rate","votes"
"1292213",大话西游之大圣娶亲 西遊記大結局之仙履奇緣,"1995","喜剧,爱情,奇幻,古装",刘镇伟,"刘,镇,伟","周星驰,吴孟达,朱茵,蔡少芬,蓝洁瑛,莫文蔚,罗家英,刘镇伟,陆树铭,李健仁",, 中国香港 / 中国大陆, tt0114996,9.2,1379450.0
"2149806",入殓师 おくりびと,"2008",剧情,小山薰堂,"泷,田,洋,二,郎","本木雅弘,广末凉子,山崎努,吉行和子,笹野高史,余贵美子",, 日本, tt1069238,8.9,582185.0
"21937445",辩护人 변호인,"2013",剧情,杨宇硕,"杨,宇,硕","宋康昊,金英爱,吴达洙,郭度沅,任时完,宋永彰,郑元中,赵敏基,李杭娜,李星民,车光洙,韩基重,沈熙燮,赵莞基,李姃垠",, 韩国, tt3404140,9.2,534341.0
"21360417",恐怖直播 더 테러 라이브,"2013","剧情,悬疑,犯罪",金秉祐,"金,秉,祐","河正宇,李璟荣,全慧珍,李大卫,金弘波,崔正贤,崔代勋,姜信哲,韩成天,孙成灿,金素真,金大明,金海仁",, 韩国, tt2990738,8.7,582994.0
"1305487",猫鼠游戏 Catch Me If You Can,"2002","剧情,传记,犯罪",杰夫·内桑森,"史,蒂,文,·,斯,皮,尔,伯,格","莱昂纳多·迪卡普里奥,汤姆·汉克斯,克里斯托弗·沃肯,马丁·辛,艾米·亚当斯,詹妮弗·加纳,伊丽莎白·班克斯,纳塔莉·贝伊,詹姆斯·布洛林,艾伦·旁派,南希·利内翰,布莱恩·豪威 ,弗兰克·约翰·休斯,克里斯·埃里斯",, 美国 / 加拿大, tt0264464,9.1,856600.0
"26611804","三块广告牌 Three Billboards Outside Ebbing, Missouri","2017","剧情,犯罪",马丁·麦克唐纳,"马,丁,·,麦,克,唐,纳","弗兰西斯·麦克多蒙德,伍迪·哈里森,山姆·洛克威尔,艾比·考尼什,卢卡斯·赫奇斯,彼特·丁拉基,约翰·浩克斯,卡赖伯·兰德里·琼斯,凯瑟琳·纽顿,凯瑞·康顿,泽利科·伊万内克,萨玛拉·维文,克拉克·彼得斯,尼克·瑟西,阿曼达·沃伦,玛拉雅·瑞沃拉·德鲁,布兰登·萨克斯顿,迈克尔·艾伦·米利甘",, 美国 / 英国, tt5027774,8.7,740856.0
"30327842","82年生的金智英 82년생 김지영","2019",剧情,刘英雅,"金,度,英","郑有美,孔刘,金美京,孔敏晶,朴成妍,李凤莲,金圣喆,李乌,孙成灿,金正英,李海云,李娜云,禹志贤,艺秀晶,廉惠兰",, 韩国, tt11052808,8.6,342555.0
"27019527",嘉年华,"2017",剧情,文晏,"文,晏","文淇,周美君,史可,耿乐,刘威葳,彭静,王栎鑫,李梦男,蒋欣悦,陈竹昇",, 中国大陆 / 法国, tt7205208,8.2,260613.0
"27191431",过春天,"2018",剧情,白雪,"白,雪","黄尧,孙阳,汤加文,倪虹洁,江美仪,廖启智,焦刚",, 中国大陆, tt8875366,7.7,291425.0
"1295124",辛德勒的名单 Schindler's List,"1993","剧情,历史,战争",托马斯·肯尼利,"史,蒂,文,·,斯,皮,尔,伯,格","连姆·尼森,本·金斯利,拉尔夫·费因斯,卡罗琳·古多尔,乔纳森·萨加尔,艾伯丝·戴维兹,马尔戈萨·格贝尔,马克·伊瓦涅,碧翠斯·马科拉,安德烈·瑟韦林,弗里德里希·冯·图恩,克齐斯茨托夫·拉夫特,诺伯特·魏塞尔,维斯瓦夫·科马萨",, 美国, tt0108052,9.6,991387.0
"26862829",芳华,"2017","剧情,历史,战争",严歌苓 Geling Yan,"冯,小,刚","黄轩,苗苗,钟楚曦,杨采钰,李晓峰,王天辰,王可如,隋源,张仁博,苏岩,张国立,赵立新",, 中国大陆, tt6654316,7.7,752080.0
"30334073",调音师 Andhadhun,"2018","喜剧,悬疑,惊悚,犯罪",阿里吉特·比沙什,"斯,里,兰,姆,·,拉,格,万","阿尤斯曼·库拉纳,塔布,拉迪卡·艾普特,安尔·德霍万,马纳夫·维吉,阿什维尼·卡尔塞卡,查亚·卡达姆,萨基尔·侯赛因,拉什米·阿格德卡,莫希尼·凯瓦拉曼",, 印度, tt8108198,8.2,853101.0
"1293839",罗马假日 Roman Holiday,"1953","剧情,喜剧,爱情",达尔顿·特朗勃,"威,廉,·,惠,勒","奥黛丽·赫本,格利高里·派克,埃迪·艾伯特,哈特利·鲍尔,哈考特·威廉姆斯,玛格丽特·罗林斯,托里奥·卡米纳提,保罗·卡利尼,克劳迪奥·埃尔梅利,保拉·布鲁布尼,里佐·弗雷多里佐",, 美国, tt0046250,9.1,862971.0
"25921812",驴得水,"2016","剧情,喜剧",周申,"周,申","任素汐,大力,刘帅良,裴魁山,阿如那,韩彦博,卜冠今,王堃,高阳,苏千越,麦亚瑟,王峰",, 中国大陆, tt6167014,8.3,832831.0
"1309163",恋恋笔记本 The Notebook,"2004","剧情,爱情",扬·萨尔迪,"尼,克,·,卡,萨,维,蒂","瑞恩·高斯林,瑞秋·麦克亚当斯,吉娜·罗兰兹,詹姆斯·加纳,斯塔尔勒塔·杜波利斯,凯文·康诺利,希瑟·沃奎斯特,杰弗里·奈特,琼·艾伦,詹姆斯·麦斯登",, 美国, tt0332280,8.6,594415.0
"1292679",春光乍泄 春光乍洩,"1997","剧情,爱情,同性",王家卫,"王,家,卫","张国荣,梁朝伟,张震,格利高里·戴顿",, 中国香港 / 日本 / 韩国, tt0118845,9.0,559609.0
"2297265",浪潮 Die Welle,"2008","剧情,惊悚",丹尼斯·甘塞尔,"丹,尼,斯,·,甘,塞,尔","于尔根·福格尔,弗雷德里克·劳,马克思·雷迈特,詹妮弗·乌尔里希,克里斯蒂安娜·保罗,雅各布·马琛茨,克里斯蒂娜·度·瑞格,埃利亚斯·穆巴里克,马克西米利安·福尔马尔,马克斯·毛夫",, 德国, tt1063669,8.7,245783.0
"27059130",大佛普拉斯,"2017","剧情,喜剧",黄信尧,"黄,信,尧","庄益增,陈竹昇,戴立忍,张少怀,陈以文,纳豆,丁国琳,李永丰,朱约信,雷婕熙,林美秀,小亮哥,游安顺,梁赫群,脱线,郑宇彤,鲁文学",, 中国台湾, tt7010412,8.7,385217.0
